id,realDonaldTrump,HillaryClinton
0,0.958241,0.041759
1,0.4106,0.5894
2,0.315898,0.684102
3,0.681557,0.318443
4,0.525134,0.474866
5,0.210984,0.789016
6,0.945496,0.054504
7,0.788004,0.211996
8,0.155588,0.844412
9,0.917353,0.082647
10,0.725255,0.274745
11,0.831563,0.168437
12,0.154695,0.845305
13,0.931917,0.068083
14,0.52231,0.47769
15,0.056297,0.943703
16,0.159055,0.840945
17,0.367354,0.632646
18,0.870622,0.129378
19,0.204578,0.795422
20,0.306544,0.693456
21,0.021015,0.978985
22,0.942891,0.057109
23,0.209084,0.790916
24,0.032245,0.967755
25,0.990365,0.009635
26,0.640884,0.359116
27,0.113869,0.886131
28,0.218144,0.781856
29,0.797943,0.202057
30,0.304927,0.695073
31,0.132211,0.867789
32,0.254485,0.745515
33,0.376831,0.623169
34,0.050367,0.949633
35,0.799378,0.200622
36,0.814018,0.185982
37,0.81759,0.18241
38,0.45614,0.54386
39,0.95759,0.04241
40,0.527013,0.472987
41,0.620125,0.379875
42,0.847205,0.152795
43,0.000647,0.999353
44,0.49806,0.50194
45,0.38566,0.61434
46,0.53511,0.46489
47,0.107002,0.892998
48,0.899329,0.100671
49,0.153869,0.846131
50,0.469472,0.530528
51,0.640732,0.359268
52,0.43945,0.56055
53,0.15958,0.84042
54,0.545265,0.454735
55,0.158665,0.841335
56,0.089585,0.910415
57,0.995211,0.004789
58,0.328513,0.671487
59,0.273022,0.726978
60,0.03942,0.96058
61,0.955058,0.044942
62,0.184026,0.815974
63,0.323721,0.676279
64,0.002412,0.997588
65,0.995484,0.004516
66,0.038756,0.961244
67,0.77097,0.22903
68,0.40742,0.59258
69,0.155641,0.844359
70,0.545325,0.454675
71,0.204887,0.795113
72,0.923463,0.076537
73,0.290474,0.709526
74,0.898513,0.101487
75,0.952836,0.047164
76,0.085428,0.914572
77,0.381008,0.618992
78,0.415375,0.584625
79,0.86117,0.13883
80,0.741473,0.258527
81,0.927081,0.072919
82,0.347813,0.652187
83,0.478326,0.521674
84,0.328607,0.671393
85,0.881571,0.118429
86,0.303658,0.696342
87,0.665272,0.334728
88,0.467974,0.532026
89,0.875725,0.124275
90,0.010891,0.989109
91,0.07326,0.92674
92,0.747728,0.252272
93,0.719625,0.280375
94,0.70027,0.29973
95,0.062249,0.937751
96,0.802518,0.197482
97,0.134949,0.865051
98,0.753854,0.246146
99,0.572388,0.427612
100,0.683429,0.316571
101,0.326397,0.673603
102,0.503294,0.496706
103,0.675892,0.324108
104,0.882445,0.117555
105,0.39162,0.60838
106,0.969496,0.030504
107,0.803939,0.196061
108,0.770014,0.229986
109,0.11872,0.88128
110,0.048872,0.951128
111,0.536571,0.463429
112,0.587442,0.412558
113,0.834168,0.165832
114,0.73567,0.26433
115,0.568124,0.431876
116,0.266742,0.733258
117,0.744687,0.255313
118,0.256309,0.743691
119,0.520228,0.479772
120,0.794136,0.205864
121,0.072099,0.927901
122,0.308893,0.691107
123,0.35617,0.64383
124,0.915637,0.084363
125,0.440434,0.559566
126,0.181846,0.818154
127,0.136266,0.863734
128,0.290726,0.709274
129,0.124702,0.875298
130,0.123465,0.876535
131,0.894962,0.105038
132,0.275268,0.724732
133,0.016004,0.983996
134,0.732974,0.267026
135,0.309846,0.690154
136,0.485877,0.514123
137,0.968318,0.031682
138,0.785383,0.214617
139,0.773007,0.226993
140,0.092591,0.907409
141,0.194015,0.805985
142,0.11837,0.88163
143,0.403284,0.596716
144,0.8569,0.1431
145,0.531208,0.468792
146,0.415443,0.584557
147,0.769699,0.230301
148,0.573342,0.426658
149,0.194816,0.805184
150,0.193607,0.806393
151,0.359643,0.640357
152,0.716441,0.283559
153,0.415548,0.584452
154,0.640629,0.359371
155,0.958925,0.041075
156,0.604109,0.395891
157,0.447574,0.552426
158,0.218718,0.781282
159,0.231805,0.768195
160,0.170668,0.829332
161,0.390805,0.609195
162,0.289476,0.710524
163,0.948365,0.051635
164,0.296805,0.703195
165,0.113791,0.886209
166,0.73727,0.26273
167,0.620883,0.379117
168,0.473036,0.526964
169,0.604277,0.395723
170,0.390733,0.609267
171,0.115375,0.884625
172,0.789481,0.210519
173,0.990535,0.009465
174,0.497905,0.502095
175,0.492302,0.507698
176,0.771022,0.228978
177,0.386321,0.613679
178,0.479283,0.520717
179,0.513307,0.486693
180,0.750209,0.249791
181,0.245257,0.754743
182,0.382631,0.617369
183,0.740795,0.259205
184,0.359062,0.640938
185,0.328135,0.671865
186,0.620523,0.379477
187,0.359834,0.640166
188,0.373229,0.626771
189,0.913831,0.086169
190,0.311286,0.688714
191,0.169578,0.830422
192,0.006789,0.993211
193,0.718349,0.281651
194,0.530744,0.469256
195,0.051514,0.948486
196,0.68475,0.31525
197,0.313683,0.686317
198,0.389704,0.610296
199,0.700133,0.299867
200,0.591366,0.408634
201,0.496208,0.503792
202,0.427319,0.572681
203,0.45625,0.54375
204,0.175306,0.824694
205,0.978163,0.021837
206,0.183383,0.816617
207,0.035908,0.964092
208,0.59046,0.40954
209,0.239178,0.760822
210,0.834263,0.165737
211,0.553242,0.446758
212,0.390827,0.609173
213,0.122814,0.877186
214,0.778574,0.221426
215,0.488084,0.511916
216,0.10745,0.89255
217,0.204883,0.795117
218,0.238501,0.761499
219,0.383411,0.616589
220,0.60903,0.39097
221,0.404696,0.595304
222,0.261061,0.738939
223,0.798929,0.201071
224,0.275365,0.724635
225,0.624457,0.375543
226,0.235953,0.764047
227,0.798508,0.201492
228,0.190447,0.809553
229,0.34954,0.65046
230,0.145995,0.854005
231,0.967202,0.032798
232,0.37275,0.62725
233,0.816748,0.183252
234,0.079401,0.920599
235,0.656161,0.343839
236,0.886237,0.113763
237,0.279602,0.720398
238,0.546851,0.453149
239,0.12796,0.87204
240,0.405933,0.594067
241,0.398683,0.601317
242,0.164793,0.835207
243,0.716196,0.283804
244,0.367224,0.632776
245,0.370896,0.629104
246,0.175254,0.824746
247,0.685485,0.314515
248,0.897918,0.102082
249,0.212073,0.787927
250,0.288786,0.711214
251,0.651997,0.348003
252,0.74343,0.25657
253,0.745111,0.254889
254,0.391547,0.608453
255,0.750652,0.249348
256,0.684127,0.315873
257,0.656149,0.343851
258,0.511148,0.488852
259,0.000053,0.999947
260,0.867951,0.132049
261,0.806925,0.193075
262,0.705918,0.294082
263,0.61271,0.38729
264,0.852979,0.147021
265,0.117715,0.882285
266,0.445246,0.554754
267,0.819566,0.180434
268,0.573135,0.426865
